0.680000 0.300000 1 
0.674000 0.307000 1 
0.668000 0.314000 1 
0.662000 0.321000 1 
0.656000 0.328000 1 
0.650000 0.335000 1 
0.644000 0.342000 1 
0.638000 0.349000 1 
0.632000 0.356000 1 
0.626000 0.363000 1 
0.620000 0.370000 2 
0.615000 0.373000 2 
0.610000 0.376000 2 
0.605000 0.379000 2 
0.600000 0.382000 2 
0.595000 0.385000 2 
0.590000 0.388000 2 
0.585000 0.391000 2 
0.580000 0.394000 2 
0.575000 0.397000 2 
0.570000 0.400000 3 
0.565000 0.401000 3 
0.560000 0.402000 3 
0.555000 0.403000 3 
0.550000 0.404000 4 
0.545000 0.405000 4 
0.540000 0.406000 4 
0.535000 0.407000 5 
0.530000 0.408000 5 
0.525000 0.409000 5 
0.520000 0.410000 6 
0.518000 0.410000 6 
0.516000 0.410000 6 
0.514000 0.410000 6 
0.512000 0.410000 7 
0.510000 0.410000 7 
0.508000 0.410000 7 
0.506000 0.410000 8 
0.504000 0.410000 8 
0.502000 0.410000 8 
0.500000 0.410000 9 
0.498000 0.410000 9 
0.496000 0.410000 10 
0.494000 0.410000 10 
0.492000 0.410000 11 
0.490000 0.410000 12 
0.488000 0.410000 12 
0.486000 0.410000 13 
0.484000 0.410000 13 
0.482000 0.410000 14 
0.480000 0.410000 15 
0.475000 0.409000 16 
0.470000 0.408000 17 
0.465000 0.407000 18 
0.460000 0.406000 19 
0.455000 0.405000 20 
0.450000 0.404000 21 
0.445000 0.403000 22 
0.440000 0.402000 23 
0.435000 0.401000 24 
0.430000 0.400000 25 
0.427000 0.398000 26 
0.424000 0.396000 28 
0.421000 0.394000 29 
0.418000 0.392000 31 
0.415000 0.390000 32 
0.412000 0.388000 34 
0.409000 0.386000 35 
0.406000 0.384000 37 
0.403000 0.382000 38 
0.400000 0.380000 40 
0.397000 0.377000 41 
0.394000 0.374000 43 
0.391000 0.371000 44 
0.388000 0.368000 46 
0.385000 0.365000 47 
0.382000 0.362000 49 
0.379000 0.359000 50 
0.376000 0.356000 52 
0.373000 0.353000 53 
0.370000 0.350000 55 
0.365000 0.348000 57 
0.360000 0.346000 60 
0.355000 0.344000 62 
0.350000 0.342000 65 
0.345000 0.340000 67 
0.340000 0.338000 70 
0.335000 0.336000 72 
0.330000 0.334000 75 
0.325000 0.332000 77 
0.320000 0.330000 80 
0.318000 0.328000 83 
0.316000 0.326000 86 
0.314000 0.324000 89 
0.312000 0.322000 92 
0.310000 0.320000 95 
0.308000 0.318000 98 
0.306000 0.316000 101 
0.304000 0.314000 104 
0.302000 0.312000 107 
0.300000 0.310000 110 
0.298000 0.306000 116 
0.296000 0.302000 122 
0.294000 0.298000 128 
0.292000 0.294000 134 
0.290000 0.290000 140 
0.288000 0.286000 146 
0.286000 0.282000 152 
0.284000 0.278000 158 
0.282000 0.274000 164 
0.280000 0.270000 170 
0.276000 0.266000 178 
0.272000 0.262000 186 
0.268000 0.258000 195 
0.264000 0.254000 203 
0.260000 0.250000 212 
0.256000 0.246000 220 
0.252000 0.242000 228 
0.248000 0.238000 237 
0.244000 0.234000 245 
